id;Nazionalità;Nome
920;American;Nicolas Calas
921;American;Lawrence Calcagno
922;American;Alexander Calder
923;American;Dale R. Caldwell
924;American;Harry Callahan
925;American;Kenneth Callahan
926;American;Mary Callery
927;British;Edwin Calligan
928;American;Jo Ann Callis
931;American;P. E. Camerer, St. Paul, MN
932;British;Julia Margaret Cameron
933;Peruvian;Julio Camino Sanchez
934;Uruguayan;Luis Camnitzer
935;French;Charles Camoin
937;American;Nickie Campbell
938;American;Jewett Campbell
939;British;Steven Campbell
940;German;Heinrich Campendonk
941;Italian;Antonia Campi
942;Italian;Massimo Campigli
944;American;Peter Campus
945;American;Vincent Canadé
946;Spanish;Antonio Cañavate Gómez
947;American;John Candelario
948;French;Louis Cane
949;Italian;Giacomo Caneva
950;German;Johannes Canis
952;Spanish;Rafael Canogar
953;Italian;Domenico Cantatore
954;Mexican;Federico Cantú
955;American;Cornell Capa
956;American;Robert Capa
957;Italian;Bruno Capacci
958;Czech;Josef Capek
959;British;Alfred Capel-Cure
960;Italian;Giuseppe Capogrossi
961;American;Paul Caponigro
962;French;Leonetto Cappiello
963;Argentine;Luis B. Caputo Demarco
964;Argentine;Aida Carballo
965;Dutch;Miguel-Ángel Cárdenas
966;Cuban;Augustin Càrdenas
967;Colombian;Santiago Cárdenas
968;Swiss;Emil Cardinaux
969;Brazilian;José Bernardo Cardoso Jr.
970;French;Etienne Carjat
972;American;Arthur B. Carles
973;American;C. Carleton
974;French;Marie Carlier
975;American;Charles W. Carlson
976;Australian;Richard Carlson
977;French;Jean Carlu
978;unknown;Natacha Carlu
980;Italian;Eugenio Carmi
981;American;John William Carnell
982;British;Anthony Caro
983;Cuban;Carol
984;Italian;Paolo Carosone
985;British;Carpenter
986;American;William L. Carqueville
987;Italian;Carlo Carrà
988;Chilean;Mario Carreño
989;Argentine;Clara Carrié
990;French;Eugène Carrière
991;Italian;Mario Carrieri
993;British;Leonora Carrington
994;American;John Carroll
996;American;Patricia Jon Carroll
998;American;Clarence H. Carter
999;American;Paul Carter
1000;French;Henri Cartier-Bresson
1001;Brazilian;Flavio de R. Carvalho
1003;Brazilian;Carybé 
1004;American;John Casado
1007;Italian;Andrea Cascella
1008;Italian;Pietro Cascella
1009;American;Jacqueline S. Casey
1010;American;Sydney Cash
1011;Japanese;Casio Computer Co. Ltd.
1012;Italian;Tranquillo Casiraghi
1013;Italian;Felice Casorati
1014;German;Karl Caspar
1015;French;A. M. Cassandre
1016;American;Mary Cassatt
1017;French;Axel Cassel
1019;American;Herbert Carroll Cassill
1021;Argentine;Rodolfo V Castagna
1023;Israeli;Moshe Elazar Castel
1024;Mexican;Pedro Castelar Báez
1025;Italian;Enrico Castellani
1026;Mexican;Julio Castellanos
1027;American;Federico Castellon
1028;Italian;Achille Castiglioni
1029;Italian;Pier Giacomo Castiglioni
1030;Mexican;Fernando Castillo
1031;American;Rosemarie Castoro
1033;Mexican;Vita Castro
1034;Chilean;Enrique Castro-Cid
1035;American;P. H. Caswell
1036;Italian;Umberto Catalano
1037;American;Elizabeth Catlett
1038;unknown;Bob Cato
1039;British;Patrick Caulfield
1040;French;Cause
1041;Italian;Alik Cavaliere
1042;American;Giorgio Cavallon
1043;French;Cazals
1044;Italian;Bruno Ceccobelli
1045;American;Francis Celentano
1046;unknown;Stojan Celic
1047;Argentine;Perez Celis
1048;American;Vija Celmins
1049;Italian;Centrokappa Design and Communication
1050;French;Edmond Ceria
1051;Italian;Emilio Cerri
1052;French;César 
1053;French;Paul Cézanne
1054;British;Lynn Chadwick
1055;French;Marc Chagall
1056;Dutch;Roger Chailloux
1057;French;Gaston Chaissac
1058;American;Paul Chaleff
1059;American;Samuel Chamberlain
1060;American;John Chamberlain
1062;American;Chambers
1063;Peruvian;Martín Chambi
1064;French;Roger Chancel
1065;American;Bruce Chandler
1068;American;Linda Chapman
1069;French;André Chapon
1070;American;Walter Chappell
1071;Russian;Serge Charchoune
1072;German;Chargesheimer 
1073;American;Sarah Charlesworth
1074;American;Jean Charlot
1078;American;Louisa Chase
1080;French;Theodore Chassériau
1081;French;Roger Chastel
1083;American;Edward Chavez
1084;Mexican;José Chávez Morado
1085;Chilean;Santos Chávez
1086;British;Bernard Cheese
1088;Chinese;Cheng Sha Ping
1089;French;Jules Chéret
1091;American;Ivan Chermayeff
1092;American;Norman Cherner
1093;Russian;Iakov Chernikhov
1095;Russian;Michael Chernyshov
1096;American;Lee Chesney
1097;Italian;Sandro Chia
1098;Brazilian;Miriam Chiaverini
1099;American;Judy Chicago
1100;American;John Chick
1101;Italian;Pietro Chiesa
1102;Sconosciuta;Chikuchi Toshio
1103;American;Bernard Childs
1104;Spanish;Eduardo Chillida
1105;American;Thomas Chimes
1106;Italian;Giorgio de Chirico
1107;Romanian;Marcel Chirnoaga
1108;Polish;Anna Chojnacka
1109;Japanese;Seiji Chokai
1110;American;Chunghi Choo
